,symbol,strategy,side,signal_time,entry_time,exit_time,entry,exit,stop,target,quantity,initial_risk,pnl,r_multiple,return_pct,hold_bars,exit_reason
0,SPY.US,momentum_breakout,BUY,2016-12-13 14:30:00+00:00,2016-12-14 14:30:00+00:00,2016-12-14 14:30:00+00:00,194.3625058758817,192.468808422449,192.62290674784728,197.8417041319506,10.290050496041575,17.900562870344153,-21.476499298837876,-1.1997667031140107,-0.9743121210023964,1,STOP_INTRADAY
1,QQQ.US,momentum_breakout,BUY,2016-12-13 14:30:00+00:00,2016-12-14 14:30:00+00:00,2016-12-30 14:30:00+00:00,112.91783001181436,110.8705219576506,110.95928938916192,116.83491125711923,17.707391787339184,34.68064613672591,-38.23383983733594,-1.1024546568885085,-1.8130954641526142,12,STOP_INTRADAY
2,SPY.US,momentum_breakout,BUY,2017-01-06 14:30:00+00:00,2017-01-09 14:30:00+00:00,2017-01-12 14:30:00+00:00,195.078219093998,193.30223656223347,193.45700216396466,198.32065295406466,10.186012031297361,16.513735154662587,-20.068203432944976,-1.2152431442670193,-0.9103950917804804,4,STOP_INTRADAY
3,QQQ.US,momentum_breakout,BUY,2017-01-06 14:30:00+00:00,2017-01-09 14:30:00+00:00,2017-01-26 14:30:00+00:00,114.58512885377141,117.89140067943406,112.88479862521574,117.98578931088277,17.33691555602872,29.47848158983269,55.30534246615234,1.876125888560946,2.8854283786528434,13,TARGET_INTRADAY
4,SPY.US,momentum_breakout,BUY,2017-01-25 14:30:00+00:00,2017-01-26 14:30:00+00:00,2017-01-30 14:30:00+00:00,197.21887281868283,195.18443898904758,195.34071155829423,200.97519533946002,10.18081547493235,19.12121322418265,-22.709688270109837,-1.1876698410218465,-1.0315614325134281,3,STOP_INTRADAY
5,QQQ.US,momentum_breakout,BUY,2017-01-26 14:30:00+00:00,2017-01-27 14:30:00+00:00,2017-01-30 14:30:00+00:00,118.15330147824524,116.43261168658252,116.52583235246449,121.40823972980674,16.965842361048242,27.611384635469182,-31.18292556905318,-1.1293503017228643,-1.4563196881803075,2,STOP_INTRADAY
6,EFA.US,momentum_breakout,BUY,2017-01-04 14:30:00+00:00,2017-01-05 14:30:00+00:00,2017-02-13 14:30:00+00:00,44.35789840537758,45.367979760889156,43.834696006340415,45.40430320345192,44.81857805805673,23.449187561409826,43.259716939771955,1.8448279637186318,2.2771172481632185,27,TARGET_GAP
7,EEM.US,momentum_breakout,BUY,2017-01-23 14:30:00+00:00,2017-01-24 14:30:00+00:00,2017-02-15 14:30:00+00:00,30.179418466164602,31.275540673733172,29.61883712992486,31.300581138644088,65.99626676297358,36.99627540882225,70.31207467686265,1.900517657517919,3.6320189827298233,17,TARGET_INTRADAY
8,QQQ.US,momentum_breakout,BUY,2017-02-07 14:30:00+00:00,2017-02-08 14:30:00+00:00,2017-02-15 14:30:00+00:00,118.42560528292177,120.69434628065467,117.24291839242976,120.7909790639058,16.837949581547665,19.914022232861807,36.187801689231996,1.817202033123949,1.9157520810747286,6,TARGET_INTRADAY
9,EEM.US,momentum_breakout,BUY,2017-02-15 14:30:00+00:00,2017-02-16 14:30:00+00:00,2017-02-17 14:30:00+00:00,31.4883879135524,31.04842322302078,31.112164876777594,32.240833987102015,64.1602508295365,24.13856440732153,-30.234433644949146,-1.2525365276395086,-1.397228374280357,2,STOP_GAP
10,EFA.US,momentum_breakout,BUY,2017-02-16 14:30:00+00:00,2017-02-17 14:30:00+00:00,2017-02-23 14:30:00+00:00,45.427301663902796,45.785238033149625,45.230004721059544,45.8218955495893,44.288760677557875,8.738037083998606,13.832713024649301,1.583045813570675,0.7879322701027869,4,TARGET_INTRADAY
11,SPY.US,momentum_breakout,BUY,2017-02-10 14:30:00+00:00,2017-02-13 14:30:00+00:00,2017-03-01 14:30:00+00:00,199.52290497632367,204.28017830407583,197.0624908191313,204.4437332907084,10.056312373515514,24.74269333294628,45.81024165864117,1.8514654424319388,2.3843244104313044,12,TARGET_GAP
12,IWM.US,momentum_breakout,BUY,2017-03-01 14:30:00+00:00,2017-03-02 14:30:00+00:00,2017-03-06 14:30:00+00:00,124.43281561350828,121.97628998489644,122.12049393161094,129.05745897730299,16.285763569285088,37.6579242075118,-42.01287580700921,-1.1156450253471144,-1.9741782876969372,3,STOP_GAP
13,GLD.US,momentum_breakout,BUY,2017-02-06 14:30:00+00:00,2017-02-07 14:30:00+00:00,2017-03-07 14:30:00+00:00,117.40384555664062,115.72698376682825,115.81963947841099,120.57225771309987,16.97399110578006,26.8902998815924,-30.441617417607336,-1.1320668624616554,-1.4282852336411578,20,STOP_INTRADAY
14,EFA.US,momentum_breakout,BUY,2017-03-01 14:30:00+00:00,2017-03-02 14:30:00+00:00,2017-03-07 14:30:00+00:00,45.721022032490545,45.41322338909213,45.449583055536564,46.263899986398506,44.33431469003832,12.034061023419838,-15.666229075371971,-1.3018239682251458,-0.6732103302058423,4,STOP_INTRADAY
15,SPY.US,volatility_expansion,BUY,2017-03-03 14:30:00+00:00,2017-03-06 14:30:00+00:00,2017-03-09 14:30:00+00:00,204.18256646328678,202.8682042046008,203.03062870756685,206.4864419747266,9.865013994016772,11.363882080413362,-14.973982849601647,-1.3176819984264538,-0.643719138931631,4,STOP_INTRADAY
16,QQQ.US,momentum_breakout,BUY,2017-02-15 14:30:00+00:00,2017-02-16 14:30:00+00:00,2017-03-15 13:30:00+00:00,121.4773200257388,124.0605713328674,120.1360304124736,124.15989925226921,16.626789642461745,22.301340249379408,40.909922642804844,1.8344154290880912,2.1265297148317375,19,TARGET_INTRADAY
17,EFA.US,momentum_breakout,BUY,2017-03-13 13:30:00+00:00,2017-03-14 13:30:00+00:00,2017-03-15 13:30:00+00:00,45.87915987858111,46.15095655624308,45.72478637699743,46.18790688174848,43.70327258946364,6.746627220301758,9.867395660275951,1.4625671966257845,0.5924186022178146,2,TARGET_INTRADAY
18,QQQ.US,momentum_breakout,BUY,2017-03-15 13:30:00+00:00,2017-03-16 13:30:00+00:00,2017-03-21 13:30:00+00:00,124.27555444309284,122.64217765141791,122.74036994737581,127.34592343452691,16.17129765960027,24.825925442643474,-28.41031236002514,-1.1443807976328153,-1.314318651801205,4,STOP_INTRADAY
19,EFA.US,momentum_breakout,BUY,2017-03-15 13:30:00+00:00,2017-03-16 13:30:00+00:00,2017-03-30 13:30:00+00:00,46.7678251955419,48.35025373991082,45.95725533739271,48.38896491184029,42.96061897534453,34.82258282884657,65.93894397693572,1.8935684438178078,3.3835837731444496,11,TARGET_INTRADAY
20,QQQ.US,volatility_expansion,BUY,2017-03-27 13:30:00+00:00,2017-03-28 13:30:00+00:00,2017-04-24 13:30:00+00:00,123.11319981748173,125.8321726384943,121.70334023938598,125.93291897367324,16.29033605222102,22.967086313622282,42.26527908317358,1.8402542885078599,2.2085144607105534,19,TARGET_GAP
21,GLD.US,momentum_breakout,BUY,2017-04-11 13:30:00+00:00,2017-04-12 13:30:00+00:00,2017-05-01 13:30:00+00:00,121.47710125122069,119.66276612875802,119.75857298714774,124.91415777936659,16.586042400739125,28.503582654782452,-32.09241730275245,-1.1259081951709622,-1.4935614233258065,13,STOP_INTRADAY
22,EFA.US,momentum_breakout,BUY,2017-05-02 13:30:00+00:00,2017-05-03 13:30:00+00:00,2017-05-05 13:30:00+00:00,48.36442145280235,49.20593237861742,47.923967858438196,49.24532864153065,42.042086636217896,18.51758817349119,33.3278446139877,1.799794028344258,1.7399379554995376,3,TARGET_INTRADAY
